year,inflation,gdp_growth,exchange_rate,broad_money,private_credit_gdp,interest_rate_spread,external_debt_gni,debt_service_exports,country
1980,13.8581814562484,5.5919762059677,7.420187499,0.782663604549705,21.8117780815515,4.83000000066666,48.0846743344258,21.0285042554811,Kenya
1981,11.6030534351142,3.77354419402822,9.04749833258333,13.2636176702805,21.0030798503612,3.57,48.617749779006,26.9657704290968,Kenya
1982,20.6667146662827,1.50647825757706,10.9223249994167,16.9261839415547,20.4370243623288,2.3025,54.5202586895828,30.4825101956896,Kenya
1983,11.3977827368523,1.3090502411486,13.3115166659167,4.94204179654286,19.3230115513832,2.56333333333333,62.6776770710645,33.7741974314409,Kenya
1984,10.284098213138,1.75521697703473,14.4138749994167,12.7862048238168,18.9864033544518,2.64583333333334,58.6460080249907,34.7957612480719,Kenya
1985,13.0065664218827,4.30056181879613,16.4321166665,6.34628568446406,19.3340845696329,2.75,70.5628300352915,38.6658831324043,Kenya
1986,2.53427598892888,7.17755539065963,16.2257416665,32.6989709425096,19.3119882309072,2.75,65.7700077293464,35.6066125489206,Kenya
1987,8.63767318980084,5.93710744420895,16.4544916666667,11.1301931142296,18.4164177260937,3.6875,75.2014289517671,39.7669428979715,Kenya
1988,12.2649630481582,6.20318382314591,17.7471,8.03923694181769,18.9261428323448,4.66666666666667,72.3341012604124,38.9914422467964,Kenya
1989,13.7893172763883,4.69034876792047,20.5724666666667,12.9208318166121,19.2244787537389,5.25,73.2584771301599,36.6398607879798,Kenya
1990,17.78181442992,4.19205097155167,22.9147666666667,20.0572811300831,18.6565323520756,5.08333333333333,85.9692823704326,35.4124283630656,Kenya
1991,20.0844955754632,1.43834679171559,27.5078666666667,19.5727307777043,19.9580725902224,4.4975,95.8287706134185,32.6135499035496,Kenya
1992,27.3323644475784,-0.799493958641349,32.2168333333333,39.0214305866637,22.1524502405053,,87.8233129467514,31.1389325784184,Kenya
1993,45.9788813036218,0.353197256227247,58.0013333333333,28.0334398779034,18.496196443499,,131.899672456245,17.0594506222193,Kenya
1994,28.8143894306731,2.632784517837,56.050575,23.177872414758,19.8341558860689,20.52,104.989738995445,20.5640053250764,Kenya
1995,1.55432816055009,4.40621652482287,51.4298333333333,29.0004780909347,25.8141177808766,15.1983333333333,83.7618607478318,25.2639536243036,Kenya
1996,8.86408741577522,4.14683926876013,57.1148666666667,25.3250564596369,21.6816261093782,16.1958333333334,57.6458704752809,22.389625941754,Kenya
1997,11.3618450505783,0.474901921293579,58.7318416666667,20.1946630476641,24.3551778303105,13.5233333333333,49.9477374885962,15.5626688001832,Kenya
1998,6.72243650753928,3.29021372249065,60.3667,2.93125162562463,23.9634167841824,11.0891666666667,48.8621957249724,14.8526034647986,Kenya
1999,5.74200109520484,2.30538859522412,70.3262166666667,6.48769519649102,26.5694419300027,12.8291666666667,51.2837287259863,15.8253913979619,Kenya
2000,9.98002515350979,0.599695390807426,76.1755416666667,4.90789773108046,25.7583827680558,14.2383333333333,48.8816816711472,21.0196812552366,Kenya
2001,5.73859814341467,3.77990649795343,78.563195,5.64036301414031,25.2226866951229,13.0266666666667,42.8030792314832,15.8770724297325,Kenya
2002,1.96130821739162,0.546859530175595,78.7491416666667,9.88881025957129,25.8546018348267,12.9666666666667,46.7971661071858,16.3518460197548,Kenya
2003,9.81569062979654,2.93247554570904,75.9355694444445,11.7872992352311,25.1556752227903,12.44,45.5616989858586,15.8395942005604,Kenya
2004,11.6240355442426,5.10429977629738,79.1738760642135,13.4716639858768,27.2875160327278,10.0983333333333,43.3540299808694,8.28271114274799,Kenya
2005,10.3127783574683,5.90666607980057,75.5541094514311,9.90837157352701,26.2768754700489,7.8,34.7059410831863,9.98729954136341,Kenya
2006,14.4537342081708,6.47249430015484,72.1008350178622,16.9719063758045,22.8883109960388,8.49683095674949,26.0902560577936,7.13640902609938,Kenya
2007,9.75888023027529,6.85072976998784,67.3176381242857,20.4230451768644,23.0449642815856,8.1780926294662,23.8155904871498,6.33193280296341,Kenya
2008,26.2398166445063,0.232282744812977,69.175319816226,15.5488382042457,25.380611749054,8.71480874356555,21.4473704486947,4.88681340498547,Kenya
2009,9.23412592394652,3.30693981631089,77.352012297579,16.457322945514,21.8748215770177,8.83752449197032,23.2191740274624,5.14297262607261,Kenya
2010,3.96138889115385,8.05847360290906,79.2331517045454,22.3616746976769,23.9866365463318,9.81413333333333,22.2953111640431,4.40619610700289,Kenya
2011,14.0224913014704,5.1211061197056,88.8107699710456,19.1520541858486,27.3659528452877,9.41819659282689,23.9314455090232,4.31690093770715,Kenya
2012,9.37777003547598,4.56867961444982,84.5296017573529,14.3923227362879,26.4022341140294,8.1512619961056,23.5760157767792,4.6495039960247,Kenya
2013,5.71749357037733,3.7978483925754,86.1228788982654,15.2783251317678,28.3321722043471,8.67168802034767,25.277644789086,4.73075851407227,Kenya
2014,6.87815499275949,5.02011100232484,87.9221638089727,26.5212626467094,34.5220651778387,8.14055109851998,27.916456980179,11.362004823099,Kenya
2015,6.58215429284779,4.96772112759767,98.1784533265271,16.0698098990173,36.6993293508397,6.89766857500811,31.3058278228131,8.33004713955533,Kenya
2016,6.29724953814625,4.21351706814744,101.504369498594,3.89041034386153,35.5710732134397,7.87100507333492,28.5315668521598,11.1736382993382,Kenya
2017,8.00564967709945,3.83795817364721,103.410004519014,9.00832756301999,33.1505993031106,5.99344925853892,33.4901470475528,14.5974443871521,Kenya
2018,4.6898064677633,5.64794640709219,101.301574049018,10.1229810507049,31.1986897673001,4.76805861880065,34.6140434138868,23.6995062707777,Kenya
2019,5.23963795764792,5.11415885767801,101.99129838935,6.01749758930089,30.8320287701597,4.93506258174157,35.4042862038635,38.427302443419,Kenya
2020,5.40516207933392,-0.272766327438816,106.450780158517,13.2732844936515,32.1498074208935,5.02708132577992,38.0454096339675,24.2889288609468,Kenya
2021,6.10793603659176,7.59048947333467,109.637746592367,6.21881571634949,31.1231240199267,5.39302455919891,38.1042168095825,16.7806362225923,Kenya
2022,7.65986268272224,4.85998104287999,117.865989201682,7.52712261006402,31.2584163915549,5.19066540123137,36.8769031537885,18.1305777110906,Kenya
2023,7.67139634029402,5.71999241214208,139.846383759617,19.8736767831777,31.7980848696513,4.42081153983736,40.4232521954815,21.1131036239564,Kenya
2024,4.48978854243448,4.66019594571891,134.822483279332,1.00930817517245,,4.61079679192246,34.992669732423,27.2238636965006,Kenya
